BOTTLE,20120815PRINUNIVRMK
# 3/14/2012 Initialized README file  
# Data source: CCHDO 3/13/2012 
# SHIP: Healy 
# Cruise: HLY-0301 
# Region: northern Baffin Bay & Nares Strait 
# EXPOCODE: 32H120030721 
# DATES: 7/21 - 8/16/2003 
# Chief Scientist: Kelly K. Falkner/OSU 
# 54 stations with 24 place Rosette 
# Station numbers in the original file were alpha-numeric. Translated to pure numeric via: 
# Original	Converted 
# B01		1 
# BEW0x,x=1:11	101:111 
# BNS0X,x=2:14	202:214 
# S0x,x=1:5	301:305 
# KS0x,x=1:15	401:415 
# KN0x,x=7:1	507:501 
# RN0x,x=7:1	607:601 
# PG01		701 
# HB01		801 
# Hydro: Who - K.Falkner; Status - final 
# 	Notes: 	 
# Nuts: Who - K.Falkner; Status - final 
# 	Notes: 
# O2: Who - K.Falkner; Status - final 
# 	Notes: 
# TCO2: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# TA: Who - K.Azetsu-Scott; Status - final 
# 	Notes:  
# Other: Barium and O-18 data (K.Falkner) included in file 
# References: 
# See final report posted at 
# http://cchdo.ucsd.edu/data_access/show_cruise?ExpoCode=32H120030721 
# Header info from previous versions of bottle file 
# BOTTLE,20100902CCHDOSIODM 
# DELO18 calibrated with Vienna Standard Mean Ocean Water (VSMOW). 
# CTDTMP is average of temp1 and temp2.             
# CTDSAL is average of Salinities from CTD 1 amd CTD 2; except merged CTDSAL2 only for Casts 39 - 50, CTDSAL 1 missing. 
# Station KS01, Cast 45, Bottles 6. Bottle flag 4,         SAMPNO blank in original Excel file, No water samples, deleted 
# Station KS09, Cast 48, Bottles 11 & 12.  Bottle flags 9, SAMPNO blank in original Excel file, No water samples, deleted 
# Many CFC-11, CFC12 and CCL4 have apparently good values but blank Quality Flags. Used 2 for missing Quality Flag. 
# NITRAT is NO2 subracted from NO3+NO2. 
# Many values are blank on the Excel file with Quality Flags 9. Added -999 for missing values. 
# Station B01, Cast 2, Bottle 24, 12.3db, OXYGEN flag changed from 2 to 9. Missing value blank on Excel file changed to -999. 
# All data in volume units converted to mass units using 'convert_per_litre_to_per_kg_exchange.py'. 
#   OXYGEN conversion used CTDTMP. 
#   Other conversions used 25 deg C. [SILCAT,NITRAT,NITRIT,PHSPHT,CFC-11,CFC-12,CCL4,NH4,BARIUM] 
#   TCARBN & ALKALI received as UMOL/KG. 
# Used SECT_ID "CAA" (Canadian Arctic Archipelago). 
# Assigned Expocode 32H120030721    Cruise dates July 21 - August 16, 2003 per Cruise Report 
# Original data received as Excel file: ArchiveHLY031bottledata.xls, from Kelly Falkner, OSU, March 24, 2010. 
# BOTTLE,20100902CCHDOSIODM 
# code : Justin Fields hyd_to_exchange.rb  
# original files copied from HTML directory: 2010-09-02 
# original HYD file: caa_32H120030721hy.txt  2010-08-26 
# original SUM file: caa_32H120030721su.txt  2010-08-26 
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,AMMONI,AMMONI_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,CCL4,CCL4_FLAG_W,TCARBN,TCARBN_FLAG_W,ALKALI,ALKALI_FLAG_W,DELO18,DELO18_FLAG_W,BARIUM,BARIUM_FLAG_W
,,,,,,,,,,,METERS,DBAR,ITS-90,PSS-78,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,PMOL/KG,,UMOL/KG,,UMOL/KG,,O/OO,,UM/KG,
  32H120030721,   CAA,     1,  2, 264524,     24,2,20030726,0429, 72.7530, -67.0245, 2374,     12.3,   2.9165,  32.0610,  32.0689,2,   -999.0,9,     2.33,2,     0.04,2,     0.02,2,     0.67,2,     0.02,2,    6.570,2,    2.992,2,    8.727,2,   -999.0,9,   -999.0,9,    -1.75,2,    60.10,2
  32H120030721,   CAA,     1,  2, 264523,     23,2,20030726,0429, 72.7530, -67.0245, 2374,     14.4,   0.8150,  32.4230,  32.2573,2,    411.7,2,     2.21,2,     0.04,2,     0.02,2,     0.68,2,     0.03,2,    6.160,2,    2.710,2,    8.155,2,   2027.6,2,   2222.6,2,    -1.83,2,    60.50,2
  32H120030721,   CAA,     1,  2, 264522,     22,2,20030726,0429, 72.7530, -67.0245, 2374,     24.6,  -0.4185,  32.8635,  32.5460,2,    438.1,2,     1.95,2,     0.10,2,     0.03,2,     0.70,2,     0.04,2,    6.284,2,    2.734,2,    7.661,2,   -999.0,9,   -999.0,9,    -1.77,2,    60.70,2
  32H120030721,   CAA,     1,  2, 264521,     21,2,20030726,0429, 72.7530, -67.0245, 2374,     39.9,  -1.5760,  33.0445,  32.9981,2,    381.3,2,     7.33,2,     3.18,2,     0.12,2,     0.95,2,     0.28,2,    5.911,2,    2.617,2,    6.571,2,   -999.0,9,   -999.0,9,    -1.56,2,    63.40,2
  32H120030721,   CAA,     1,  2, 264520,     20,2,20030726,0429, 72.7530, -67.0245, 2374,     52.1,  -1.5865,  33.1385,  33.1796,2,    343.7,2,    11.53,2,     6.60,2,     0.15,2,     1.07,2,     0.52,2,    6.800,2,    3.007,2,    7.572,2,   2144.6,2,   2260.7,2,    -1.46,2,    59.10,2
  32H120030721,   CAA,     1,  2, 264519,     19,2,20030726,0429, 72.7530, -67.0245, 2374,    152.0,  -1.5080,  33.6910,  33.6938,2,   -999.0,9,    13.79,2,    10.85,2,     0.02,2,     1.12,2,     0.03,2,    6.192,2,    2.730,2,    7.028,2,   2167.0,2,   2271.2,2,    -1.02,2,    54.10,2
  32H120030721,   CAA,     1,  2, 264518,     18,2,20030726,0429, 72.7530, -67.0245, 2374,    202.5,  -1.4540,  33.7720,  33.7835,2,   -999.0,9,    13.67,2,    11.02,2,     0.02,2,     1.13,2,     0.03,2, -999.000,9, -999.000,9, -999.000,9,   -999.0,9,   -999.0,9,    -0.99,2,    54.90,2
  32H120030721,   CAA,     1,  2, 264517,     17,2,20030726,0429, 72.7530, -67.0245, 2374,    232.1,  -0.3455,  33.9085,  33.9197,2,   -999.0,9,    16.53,2,    12.98,2,     0.02,2,     1.21,2,     0.04,2,    4.733,2,    2.050,2,    5.390,2,   -999.0,9,   -999.0,9,    -0.68,2,    55.10,2
  32H120030721,   CAA,     1,  2, 264516,     16,2,20030726,0429, 72.7530, -67.0245, 2374,    277.5,   0.5045,  34.0940,  34.1218,2,    240.5,2,    19.54,2,    15.21,2,     0.01,2,     1.28,2,     0.04,2,    3.970,2,    1.835,2,    4.080,2,   2183.0,2,   2265.0,2,    -0.41,2,    54.40,2
