"MISSION","SETNO","SDATE","DMIN","DMAX","SURFACE_TEMPERATURE","BOTTOM_TEMPERATURE","LATITUDE","LONGITUDE","YEAR","XTYPE","XTYPEDESC","SPEC","TOTWGT","TOTNO","COMM"
"NED2010001",1,"2010-02-26 21:13:00",138,143,3.92,8.78,42.261,-66.1316666666667,2010,1,"Stratified random survey set",10,2.95,1,"COD(ATLANTIC)"
"NED2013022",216,"2013-07-29 07:18:00",85,93,17.34,2.57,45.5196666666667,-60.1105,2013,1,"Stratified random survey set",10,6.01,20,"COD(ATLANTIC)"
"NED2010002",49,"2010-03-17 10:14:00",231,232,1.4,5.17,44.8095,-56.9525,2010,1,"Stratified random survey set",10,1.245,1,"COD(ATLANTIC)"
"NED2011025",144,"2011-07-20 18:27:00",26,30,13.3,4.32,44.0788333333333,-60.2263333333333,2011,1,"Stratified random survey set",10,0.002,1,"COD(ATLANTIC)"
"NED2013028",41,"2013-08-07 13:52:00",119,119,NA,NA,43.434,-63.7401666666667,2013,5,"Comparative fishing experiment",10,0.002,1,"COD(ATLANTIC)"
"NED2014102",35,"2014-03-18 17:17:00",92,94,NA,NA,44.0998333333333,-66.8996666666667,2014,5,"Comparative fishing experiment",10,0.161,1,"COD(ATLANTIC)"
"TEL2017002",27,"2017-03-25 15:09:00",32,37,NA,NA,41.9021666666667,-67.9126666666667,2017,1,"Stratified random survey set",10,6.34,4,"COD(ATLANTIC)"
"NED2010001",65,"2010-03-07 23:17:00",52,53,5.39,6.68,41.763,-65.9901666666667,2010,1,"Stratified random survey set",10,1.51,1,"COD(ATLANTIC)"
"NED2013028",141,"2013-08-14 17:56:00",13,14,NA,NA,44.167,-60.8093333333333,2013,5,"Comparative fishing experiment",10,16.71,91,"COD(ATLANTIC)"
"NED2014018",55,"2014-07-20 13:35:00",92,111,11.99,10.12,43.0146666666667,-66.9415,2014,1,"Stratified random survey set",10,0.682,1,"COD(ATLANTIC)"
"NED2010027",31,"2010-07-10 05:50:00",46,47,16.46,6.72,42.5335,-65.8268333333333,2010,1,"Stratified random survey set",10,1.32,1,"COD(ATLANTIC)"
"NED2016016",25,"2016-07-06 10:02:00",135,137,16.1,8.6,42.3955,-66.3266666666667,2016,1,"Stratified random survey set",10,0.004,1,"COD(ATLANTIC)"
"NED2015017",16,"2015-07-01 14:48:00",33,36,12.84,5.46,43.6983333333333,-61.6375,2015,1,"Stratified random survey set",10,0.412,1,"COD(ATLANTIC)"
"NED2010027",19,"2010-07-08 22:59:00",48,49,18.06,5.8,43.0568333333333,-64.7741666666667,2010,1,"Stratified random survey set",10,0.002,1,"COD(ATLANTIC)"
"NED2011002",28,"2011-02-27 06:53:00",51,52,NA,NA,41.9058333333333,-66.0638333333333,2011,1,"Stratified random survey set",10,250.69,110,"COD(ATLANTIC)"
"NED2012022",130,"2012-07-20 01:19:00",29,30,17.74,5.81,43.9481666666667,-61.041,2012,1,"Stratified random survey set",10,1.317,3,"COD(ATLANTIC)"
"NED2012002",12,"2012-02-15 00:46:00",26,27,6.53,6.53,41.9056666666667,-67.297,2012,1,"Stratified random survey set",10,12.11,4,"COD(ATLANTIC)"
"TEL2017002",47,"2017-03-27 08:48:00",43,46,4.3,4.4,41.965,-66.4283333333333,2017,1,"Stratified random survey set",10,87.7,37,"COD(ATLANTIC)"
