"Timestamp","1) What Science Division are you in?","Relevance of the material to your work","Expertise of the presenters","Usefulness of the interactive sessions and examples","Balance of interactive and non-interactive sessions","Your learning experience","Clarity of presentations, materials, and pacing","How would you rate the venue?","Overall rating of the workshop","Would you recommend this workshop to others? ","Why or why not?","Would you be likely to try the techniques used in this course? ","Why or why not?","What were you hoping to learn in this workshop that you did not?","What topics would you be interested in covering in future workshops?","If we were to organize future workshops when during the year would you be most likely to be able to attend?","Do you have any other comments? "
"2019/11/05 4:29:44 PM AST","Population Ecology","4","4","4","3","4","4","4","4","Yes","Very relevant topic; applicable to work flow; interesting experience, and engaged participants","Yes","Very relevant topic; applicable to work flow; interesting experience, and engaged participants","What was covered was good. It would have been nice to see some more prepared examples","","January;February;March;April;May;June;July;August;September;October;November;December","This was much appreciated. I think it was a good use of resources and time"
"2019/11/05 4:30:11 PM AST","Coastal Ecosystem Science","4","5","4","4","4","4","4","4","Yes","","Yes","","","","March;April;May",""
"2019/11/05 4:30:44 PM AST","Coastal Ecosystem Science","4","5","5","5","5","5","4","5","Yes","Lots of useful ideas and solutions that address many issues we all have in our daily work. ","Yes","I will be trying to do summaries for future CSAS documents using the embedded and data interactive tools presented. ","","Use of RStudio in the cloud.","January;February;March;April;May;June;September;October;November;December","Really enjoyed it! Great job"
"2019/11/05 4:34:31 PM AST","Ocean and Ecosystems Science","4","5","5","5","5","4","5","5","Yes","great interactive tool, highly relevant","Yes","excellent for synthesizing/visualizing  a large amounts of information, useful data exploration tool","Would like to learn more about mapping ","","January;February;March;April;May;June;August;September;October;November","great workshop"
"2019/11/05 4:39:59 PM AST","Population Ecology","5","5","5","5","5","5","5","5","Yes","Great to work with others that I don't normally get to. Sharing ideas, etc. ","Yes","I think they'll be useful in my role, communicating with stakeholders","Exactly how to present a dashboard to a group","Shiny! (instead of flexdashboard). Also species distribution models","January;February;March;April;May;June;July;August;November;December","Thanks for organizing!"
"2019/11/05 7:44:21 PM AST","Ocean and Ecosystems Science","4","5","4","4","4","4","5","5","Yes","","Yes","","","","October;November;December",""
"2019/11/05 7:45:15 PM AST","Population Ecology","5","4","4","4","5","5","5","5","Yes","Excellent workshop, very interesting topic.  Pacing was a little uneven, there were a few times things seemed to hit a bit of a lull.  The general format was good and lots of time to learn the code was excellent.","Yes","Applicable to what I do, and very useful means of communicating results.","More on Shiny would have been useful, but sounds like that is a day on its own.","Spatial modelling 102, overview of different types of SDM models, Basics of spatial analysis in R","January;February;March;April;May;June;July;August;September;October;November;December",""
"2019/11/05 9:19:10 PM AST","Population Ecology","5","4","4","4","5","5","5","5","Yes","Very informative, applicable to improving science communication in stock assessment CSAS process es","Yes","","","Spatial analysis, spatial modeling ","January;February",""
"2019/11/06 7:58:48 AM AST","Ocean and Ecosystems Science","4","5","3","3","4","4","4","4","Yes","Learned about useful tools and possible applications","Yes","","","","January;February;March",""
"2019/11/06 8:05:00 AM AST","Ocean and Ecosystems Science","4","4","5","5","5","4","3","4","Yes","","Yes","","","","February;March","Recommend that participants bring their own dataset to work with.  That way they are familiar with it and may have some code to look at certain aspects that could have been incorporated into Dashboard.  

One comment - some time the code was presented too quickly and people didn't have a chance to get the commands written down."
